,0
cus_num,0
other_var1,13316
id,0
cell,0
name,105
user_date,0
flagy,0
custApiCode,0
sl_user_date,0
swift_number,0
cus_username,0
code,0
flag_applyloanstr,0
als_d7_id_pdl_allnum,72945
als_d7_id_pdl_orgnum,72945
als_d7_id_caon_allnum,78895
als_d7_id_caon_orgnum,78895
als_d7_id_rel_allnum,87628
als_d7_id_rel_orgnum,87628
als_d7_id_caoff_allnum,90044
als_d7_id_caoff_orgnum,90044
als_d7_id_cooff_allnum,90632
als_d7_id_cooff_orgnum,90632
als_d7_id_af_allnum,93003
als_d7_id_af_orgnum,93003
als_d7_id_coon_allnum,91727
als_d7_id_coon_orgnum,91727
als_d7_id_oth_allnum,87253
als_d7_id_oth_orgnum,87253
als_d7_id_bank_selfnum,89664
als_d7_id_bank_allnum,89664
als_d7_id_bank_tra_allnum,89716
als_d7_id_bank_ret_allnum,93205
als_d7_id_bank_orgnum,89664
als_d7_id_bank_tra_orgnum,89716
als_d7_id_bank_ret_orgnum,93205
als_d7_id_bank_week_allnum,89664
als_d7_id_bank_week_orgnum,89664
als_d7_id_bank_night_allnum,89664
als_d7_id_bank_night_orgnum,89664
als_d7_id_nbank_selfnum,63017
als_d7_id_nbank_allnum,63017
als_d7_id_nbank_p2p_allnum,86507
als_d7_id_nbank_mc_allnum,91905
als_d7_id_nbank_ca_allnum,75729
als_d7_id_nbank_cf_allnum,77101
als_d7_id_nbank_com_allnum,93018
als_d7_id_nbank_oth_allnum,82815
als_d7_id_nbank_nsloan_allnum,81680
als_d7_id_nbank_autofin_allnum,93254
als_d7_id_nbank_sloan_allnum,86427
als_d7_id_nbank_cons_allnum,83766
als_d7_id_nbank_finlea_allnum,91866
als_d7_id_nbank_else_allnum,72871
als_d7_id_nbank_orgnum,63017
als_d7_id_nbank_p2p_orgnum,86507
als_d7_id_nbank_mc_orgnum,91905
als_d7_id_nbank_ca_orgnum,75729
als_d7_id_nbank_cf_orgnum,77101
als_d7_id_nbank_com_orgnum,93018
als_d7_id_nbank_oth_orgnum,82815
als_d7_id_nbank_nsloan_orgnum,81680
als_d7_id_nbank_autofin_orgnum,93254
als_d7_id_nbank_sloan_orgnum,86427
als_d7_id_nbank_cons_orgnum,83766
als_d7_id_nbank_finlea_orgnum,91866
als_d7_id_nbank_else_orgnum,72871
als_d7_id_nbank_week_allnum,63017
als_d7_id_nbank_week_orgnum,63017
als_d7_id_nbank_night_allnum,63017
als_d7_id_nbank_night_orgnum,63017
als_d7_cell_pdl_allnum,73914
als_d7_cell_pdl_orgnum,73914
als_d7_cell_caon_allnum,79278
als_d7_cell_caon_orgnum,79278
als_d7_cell_rel_allnum,87196
als_d7_cell_rel_orgnum,87196
als_d7_cell_caoff_allnum,89651
als_d7_cell_caoff_orgnum,89651
als_d7_cell_cooff_allnum,90696
als_d7_cell_cooff_orgnum,90696
als_d7_cell_af_allnum,93011
als_d7_cell_af_orgnum,93011
als_d7_cell_coon_allnum,91769
als_d7_cell_coon_orgnum,91769
als_d7_cell_oth_allnum,87439
als_d7_cell_oth_orgnum,87439
als_d7_cell_bank_selfnum,89151
als_d7_cell_bank_allnum,89151
als_d7_cell_bank_tra_allnum,89202
als_d7_cell_bank_ret_allnum,93206
als_d7_cell_bank_orgnum,89151
als_d7_cell_bank_tra_orgnum,89202
als_d7_cell_bank_ret_orgnum,93206
als_d7_cell_bank_week_allnum,89151
als_d7_cell_bank_week_orgnum,89151
als_d7_cell_bank_night_allnum,89151
als_d7_cell_bank_night_orgnum,89151
als_d7_cell_nbank_selfnum,63968
als_d7_cell_nbank_allnum,63968
als_d7_cell_nbank_p2p_allnum,87425
als_d7_cell_nbank_mc_allnum,91980
als_d7_cell_nbank_ca_allnum,75975
als_d7_cell_nbank_cf_allnum,77556
als_d7_cell_nbank_com_allnum,93029
